a_sabun_air_mengalir,guru_agama_budi_pekerti,guru_bahasa_indonesia,guru_bahasa_inggris,guru_kelas,guru_matematika,guru_penjaskes,guru_pkn,guru_sejarah_indonesia,guru_seni_budaya,identitas_valid,jml_jamban_digunakan,jml_jamban_tidak_digunakan,jml_lab_x,jml_perpus_x,jml_rk_x,jml_wastafel,jumlah_kirim_x,kecukupan_air,ketersediaan_air,memproses_air,minum_siswa,pd_x,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_laki,pd_perempuan,pd_valid,pegawai_x,pegawai_laki,pegawai_perempuan,prasarana_valid,ptk_x,ptk_laki,ptk_perempuan,ptk_valid,rombel_x,siswa_bawa_air,sumber_air_str,tipe_jamban,toilet_siswa_kk,total_valid,sekolah_id_enkrip,bentuk_pendidikan,induk_kabupaten,induk_kecamatan,induk_provinsi,jml_lab_y,jml_perpus_y,jml_rk_y,jumlah_kirim_y,kode_wilayah_induk_kabupaten,kode_wilayah_induk_kecamatan,kode_wilayah_induk_provinsi,nama,npsn,pd_y,pegawai_y,ptk_y,rombel_y,sekolah_id,sinkron_terakhir,status_sekolah
Ya,0,0,0,0,0,0,0,0,0,100.0,6,0,2,1,6,3,11,Cukup,Ya,Ya,Tidak disediakan,187,0,0,0,0,0,0,0,0,16,12,16,12,21,14,14,14,18,17,25,8,0,0,0,0,0,0,110,77,0,2,1,1,100.0,8,3,5,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,71399D3999E32A20F462                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,2,1,6,11,040200  ,040208  ,040000  ,SD NEGERI BERBAH 1,20401386,187,2,8,6,C051865C-2EF5-E011-890E-63281196368D,15 Apr 2019 10:28:42,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,17,0,1,1,12,12,45,Cukup,Ya,Tidak,Tidak disediakan,324,0,0,0,0,0,0,0,0,27,28,29,23,35,24,26,26,16,30,24,36,0,0,0,0,0,0,157,167,0,4,3,1,100.0,16,2,14,0,12,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,97823EA32F0127D4591B                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,12,45,040200  ,040208  ,040000  ,SD NEGERI BERBAH 2,20401385,324,4,16,12,1070865C-2EF5-E011-8629-47EE0FAD595C,29 Apr 2019 10:03:15,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,4,0,0,1,6,4,13,Cukup,Ya,Ya,Tidak disediakan,128,0,0,0,0,0,0,0,0,9,3,9,12,13,12,13,11,12,13,11,10,0,0,0,0,0,0,67,61,0,2,1,1,100.0,8,2,6,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,D889D22ADE3B55870822                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,13,040200  ,040208  ,040000  ,SD NEGERI JAGAMANGSAN 1,20401711,128,2,8,6,C0D7865C-2EF5-E011-9992-A72E38B3EB17,20 Mar 2019 03:58:43,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,5,0,0,1,7,6,4,Cukup,Ya,Ya,Disediakan sekolah,134,0,0,0,0,0,0,0,0,14,11,13,8,20,6,11,8,12,11,12,8,0,0,0,0,0,0,82,52,0,4,1,3,100.0,9,1,8,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,A435C7B00D7FED442BF4                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,7,4,040200  ,040208  ,040000  ,SD NEGERI JAGAMANGSAN 2,20401721,134,4,9,6,90E4865C-2EF5-E011-A97A-1FA21D72359B,14 Mar 2019 19:06:54,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,4,0,0,1,6,4,3,Cukup,Ya,Ya,Disediakan sekolah,108,0,0,0,0,0,0,0,0,5,8,8,8,14,9,14,7,11,13,5,6,0,0,0,0,0,0,57,51,0,2,1,1,100.0,7,1,6,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),4,50.0,F052AA1AC8524B4F1668                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,3,040200  ,040208  ,040000  ,SD NEGERI JAGAMANGSAN 3,20401722,108,2,7,6,A0F1865C-2EF5-E011-A94B-1B7C58CB42FB,05 Mar 2019 11:16:53,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,3,0,0,1,6,7,22,Cukup,Ya,Ya,Disediakan sekolah,104,0,0,0,0,0,0,0,0,13,5,7,7,11,12,10,6,9,7,12,5,0,0,0,0,0,0,62,42,0,3,2,1,100.0,8,3,5,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,D814D41D7EA9087FB6A6                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,22,040200  ,040208  ,040000  ,SD NEGERI JOMBLANG 1,20401709,104,3,8,6,607D865C-2EF5-E011-A583-2D7B407C05A8,23 Apr 2019 10:13:08,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,12,0,0,1,6,29,17,Cukup,Ya,Tidak,Disediakan sekolah,170,0,0,0,0,0,0,0,0,17,11,13,16,17,16,17,16,13,8,13,13,0,0,0,0,0,0,90,80,0,3,2,1,100.0,9,2,7,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,8E7906B3E282AB224F35                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,17,040200  ,040208  ,040000  ,SD NEGERI JOMBLANG 2,20401695,170,3,9,6,208A865C-2EF5-E011-BB97-5F49994AC9E3,07 Apr 2019 05:18:02,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,7,2,1,1,6,6,21,Cukup,Ya,Tidak,Disediakan sekolah,156,0,0,0,0,0,0,0,0,5,15,18,9,11,15,18,12,15,14,13,11,0,0,0,0,0,0,80,76,0,3,2,1,100.0,9,4,5,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,8FE160BF0D282DFBC31C                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,6,21,040200  ,040208  ,040000  ,SD NEGERI KALIAJIR,20401706,156,3,9,6,000C875C-2EF5-E011-B5FB-858742A2953E,06 Apr 2019 22:50:20,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,8,0,2,2,12,14,15,Cukup,Ya,Ya,Disediakan sekolah,316,0,0,0,0,0,0,0,0,30,26,28,27,25,32,25,25,22,23,24,29,0,0,0,0,0,0,154,162,0,3,2,1,100.0,18,6,12,0,12,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,ECFB8D8C143EB12FCA51                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,2,2,12,15,040200  ,040208  ,040000  ,SD NEGERI KLODANGAN,20401532,316,3,18,12,E062865C-2EF5-E011-84F7-317C7FCF0F2E,22 Apr 2019 22:57:56,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,4,0,2,1,6,6,13,Cukup,Ya,Ya,Disediakan sekolah,150,0,0,0,0,0,0,0,0,15,8,21,10,13,8,17,8,17,13,10,10,0,0,0,0,0,0,93,57,0,3,2,1,100.0,7,2,5,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,A7CB725C931DCA89EC82                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,2,1,6,13,040200  ,040208  ,040000  ,SD NEGERI KRANGGAN,20401552,150,3,7,6,4019875C-2EF5-E011-89FA-1B8FB0FD3BD9,19 Mar 2019 18:27:12,Negeri
